,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
단독다가구,50이하,중위수,중위수,중위수,
,청파동3가,1000,60,8750,
,한강로1가,,,11000,
,한강로3가,1000,20,4000,
,한남동,1000,50,10000,
,효창동,4000,40,13500,
,후암동,3000,50,12500,
은평구,갈현동,2500,30,7000,
,구산동,2000,35,7500,
,녹번동,1000,28,11000,
,대조동,2000,35,5500,
,불광동,2000,30,8000,
,수색동,150,30,5500,
,신사동,1000,40,6000,
,역촌동,2000,35,8500,
,응암동,2000,35,8500,
,증산동,850,35,6750,
,진관동,5000,65,,
종로구,계동,8500,80,,
,구기동,10000,50,,
,낙원동,,,10000,
,누하동,7250,20,15000,
,동숭동,4250,48,12000,
,명륜1가,5000,40,,
,명륜2가,3000,60,,
,명륜3가,,,11500,
,명륜4가,,,10000,
,부암동,2750,95,,
,사직동,,,15000,
,삼청동,,,15000,
,숭인동,2000,43,10000,
,신교동,2000,75,,
,신문로2가,3000,45,20000,
,신영동,500,30,6000,
,연건동,1000,77,13500,
,창신동,3000,55,10000,
,청운동,4000,65,12000,
,충신동,4300,18,8750,
,통의동,12000,30,,
,통인동,,,23000,
,평창동,,,15000,
,필운동,,,14500,
,행촌동,1500,53,12000,
,혜화동,2000,55,,
,효자동,5000,60,20000,
중구,광희동2가,4000,30,,
,남산동1가,500,35,,
,남산동2가,,,15000,
,남학동,1000,60,,
,신당동,2500,50,12000,
,쌍림동,,,22000,
,장충동1가,4000,30,,
,장충동2가,6000,55,16000,
,중림동,,,9500,
,필동2가,,,5000,
,황학동,2000,53,12000,
,회현동1가,5000,75,,
,회현동2가,,,15000,
중랑구,망우동,1400,30,8000,
,면목동,2500,35,9000,
,묵동,4000,40,15000,
,상봉동,2000,33,10250,
,신내동,6000,25,12500,
,중화동,2000,30,11500,
"a. 주택유형 = 단독다가구, 면적구분3550 = 2_35_50",,,,,
