,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
연립다세대,35이하,중위수,중위수,중위수,
,대조동,2000,40,14000,
,불광동,3000,40,15500,
,수색동,500,23,18000,
,신사동,1750,43,15000,
,역촌동,2750,37,14000,
,응암동,3000,43,15000,
,증산동,,,10000,
종로구,누상동,8000,20,9000,
,동숭동,,,8500,
,명륜1가,2000,73,10000,
,명륜2가,1000,60,,
,명륜3가,2000,48,,
,명륜4가,750,43,,
,사직동,1000,30,,
,숭인동,1000,30,9500,
,신교동,1750,43,9000,
,신영동,1000,60,,
,연건동,4000,45,15000,
,연지동,1000,65,,
,옥인동,,,11000,
,운니동,1000,60,,
,원서동,2000,50,,
,창신동,,,4500,
,평창동,4610,18,,
,행촌동,1500,38,7800,
,혜화동,1000,51,16000,
중구,신당동,2000,50,21450,
,장충동1가,1000,50,18000,
,장충동2가,1000,43,8000,
,중림동,1500,68,24000,
,필동3가,,,26000,
,황학동,2000,66,22500,
중랑구,망우동,1000,35,10250,
,면목동,2000,45,16950,
,묵동,5000,34,17000,
,상봉동,3500,55,14000,
,신내동,3000,48,,
,중화동,2750,47,17000,
"a. 주택유형 = 연립다세대, 면적구분3550 = 1_35이하",,,,,
